Source;Target;Type;Id;Label;timeset;Weight;Character;Title;Chronology;start;end
87;89;Undirected;286;;<[1.0, 16.0]>;1;Watson;Study in Scarlet;1;1;16
91;89;Undirected;289;;<[2.0, 16.0]>;1;Stamford;Study in Scarlet;1;2;16
91;90;Undirected;291;;<[3.0, 16.0]>;1;Stamford;Study in Scarlet;1;3;16
87;90;Undirected;293;;<[4.0, 16.0]>;2;Watson;Study in Scarlet;1;4;16
0;90;Undirected;294;;<[5.0, 16.0]>;1;Watson;Study in Scarlet;1;5;16
92;93;Undirected;296;;<[6.0, 16.0]>;1;Stangerson;Study in Scarlet;1;6;16
94;93;Undirected;299;;<[7.0, 16.0]>;1;Stangerson;Study in Scarlet;1;7;16
95;93;Undirected;300;;<[8.0, 16.0]>;1;Hope;Study in Scarlet;1;8;16
95;94;Undirected;302;;<[9.0, 16.0]>;1;Hope;Study in Scarlet;1;9;16
95;0;Undirected;303;;<[10.0, 16.0]>;1;Watson;Study in Scarlet;1;10;16
95;96;Undirected;305;;<[11.0, 16.0]>;1;Watson;Study in Scarlet;1;11;16
0;96;Undirected;307;;<[12.0, 16.0]>;1;Watson;Study in Scarlet;1;12;16
0;97;Undirected;309;;<[13.0, 16.0]>;1;Holmes;Study in Scarlet;1;13;16
0;94;Undirected;312;;<[14.0, 16.0]>;1;Lestrayd;Study in Scarlet;1;14;16
0;99;Undirected;319;;<[-Infinity, Infinity]>;1;Watson;Resident Patient;2;17;22
87;99;Undirected;321;;<[-Infinity, Infinity]>;1;Watson;Resident Patient;2;18;22
87;0;Undirected;323;;<[-Infinity, Infinity]>;1;Watson;Resident Patient;2;19;22
98;0;Undirected;325;;<[-Infinity, Infinity]>;2;Watson;Resident Patient;2;20;22
7;0;Undirected;11;;<[-Infinity, Infinity]>;2;Watson;Beryl Coronet;3;23;26
7;5;Undirected;12;;<[-Infinity, Infinity]>;1;Police;Beryl Coronet;3;24;26
8;0;Undirected;15;;<[-Infinity, Infinity]>;1;Holmes;Beryl Coronet;3;25;26
77;0;Undirected;229;;<[-Infinity, Infinity]>;1;Watson;Charles Augustus Milverton;4;27;30
77;5;Undirected;232;;<[-Infinity, Infinity]>;1;Police;Charles Augustus Milverton;4;28;30
78;18;Undirected;236;;<[-Infinity, Infinity]>;1;Watson;Charles Augustus Milverton;4;29;30
107;0;Undirected;354;;<[-Infinity, Infinity]>;1;John Openshaw;5 Orange Pips;5;31;33
107;108;Undirected;355;;<[-Infinity, Infinity]>;1;John Openshaw;5 Orange Pips;5;32;33
109;0;Undirected;357;;<[-Infinity, Infinity]>;1;Watson;Scandal in Bohemia;6;34;35
109;110;Undirected;358;;<[-Infinity, Infinity]>;1;Iren Adler;Scandal in Bohemia;6;34;35
0;104;Undirected;342;;<[-Infinity, Infinity]>;2;Mycroft;Greek Interpreter;7;36;40
5;104;Undirected;345;;<[-Infinity, Infinity]>;1;Watson;Greek Interpreter;7;37;40
5;105;Undirected;348;;<[-Infinity, Infinity]>;1;Mycroft;Greek Interpreter;7;38;40
106;105;Undirected;351;;<[-Infinity, Infinity]>;1;Mycroft;Greek Interpreter;7;39;40
0;66;Undirected;195;;<[-Infinity, Infinity]>;2;Lord Saint Simon;Noble Bachelor;8;41;47
67;66;Undirected;196;;<[-Infinity, Infinity]>;1;Mrs Francis Hay Maulton;Noble Bachelor;8;42;47
67;68;Undirected;198;;<[-Infinity, Infinity]>;1;Mr Maulton;Noble Bachelor;8;43;47
70;68;Undirected;201;;<[-Infinity, Infinity]>;1;Mrs Francis Hay Maulton;Noble Bachelor;8;44;47
5;69;Undirected;203;;<[-Infinity, Infinity]>;1;Lestrayd;Noble Bachelor;8;45;47
0;69;Undirected;204;;<[-Infinity, Infinity]>;1;Lestrayd;Noble Bachelor;8;46;47
17;0;Undirected;52;;<[-Infinity, Infinity]>;1;Watson;Sign of the Four;9;48;90
25;27;Undirected;53;;<[-Infinity, Infinity]>;1;Mayor Morsten;Sign of the Four;9;49;90
24;0;Undirected;54;;<[-Infinity, Infinity]>;2;Watson;Sign of the Four;9;50;90
